,date,year exp,score,pros,cons,position
670,2021-10-15,Current Employee,4.0,This company will pay you with good salary,You can get cut anytime,Content Strategist
671,2021-10-14,"Former Employee, more than 1 year",3.0,"Higher TC,fun products , fast moving path.","Stress, office politics, bad work life balance",Software Engineer (Swe II)
672,2021-10-13,"Former Employee, more than 1 year",4.0,Its good if we have or manage to be part of a good team,"Some team are stable and some are very back behind, its hard to change some mentalities at times.",Team Leader
673,2021-10-13,Current Employee,4.0,"Peace, multi, culture, comfortable, freedom","low salary, long work time",Anonymous Employee
674,2021-09-27,"Current Employee, more than 1 year",5.0,"great benefits, good salary for the location, overall great","working overtime for most people, no free drinks",Front End Engineer
675,2021-09-27,"Current Employee, more than 1 year",5.0,"Nice colleague, good environment, decent salary","Long work hours, little bit tired",Anonymous Employee
676,2021-09-27,Current Employee,5.0,"Open culture, young team, a lot of internal opportunities.","Long working hours, difficult problems",Data Analyst
677,2021-10-08,Former Employee,4.0,"energetic, young and organized. Suitable for the young people.",It has a heavy workload.,Anonymous Employee
678,2021-09-25,Current Employee,5.0,Very efficient ways of working thanks to Lark,A bit unstructured as a fast-growing internet company,Analyst
679,2021-09-23,"Current Employee, less than 1 year",5.0,"Everything is based on merits, not seniority. If you’re good doesnt matter if you’re new, you will go up the ladder",Shift rotation is a bit hard to keep up,Content Moderator
680,2021-10-08,"Current Employee, more than 1 year",4.0,"Really collaborative work culture with tools to support the same, Good work life balance, plenty of opportunities to grow","None as of now, thanks.",HR- Consultant
681,2021-10-07,Current Employee,3.0,"Good pay and good meal,",Centralized management. Very stressed. Tired.,Management Consultant
682,2021-09-22,Former Employee,5.0,"Flat structure allows you to make a difference in and outside your JD. , Great people on my team.","Despite touting a flat structure, some leaders get in the way.",Anonymous Employee
683,2021-09-15,"Current Employee, more than 1 year",5.0,"> Multinational colleagues, > Employee benefits, > Transparent performance review structure","> Progression path is available, but not made clear to everyone, > Too many notices and information given inside internal chats to keep up with, > Job levels are not transparent and salaries are not equal",Ad Service Specialist
684,2021-09-21,Former Employee,5.0,"comprehensive and considerate facilities, friendly environment","work overtime, busy schedule on weekends sometimes",Anonymous Employee
685,2021-09-18,Current Employee,5.0,enrich life and inspire creativity,hard pressure and long time work,Anonymous Employee
686,2021-09-29,"Current Employee, more than 1 year",2.0,"Good Team, Good benefits, Some Perks, Bragging Rights for working at TikTok","Deep, Deep Bureaucracy…Lots of layers and many people involved in process or project approval who do not have the background or knowledge to review. Any financial approval takes a minimum of 6 people, sometimes as many as 20 for everything from multi million dollar projects to $100 team building asks. Every approval has to go the top executives in China, last one I sent (for $200) I was told there were 1000+ ahead of me with one person. Nothing moves quickly here and that can be frustrating and ultimately is costing the company millions if not hundreds of millions of dollars. No career advancement, peoples titles change every month - but it is the same job. Limited bonus structure and no equity in company, unlike google and facebook which have a performance program to award high achievers. Expectation that days are a minimum of 12 hours and weekend work is required to catch up.",Manager
687,2021-09-16,"Former Employee, more than 1 year",5.0,"everything was very smooth in this company. Also get so much knowledge from process and people regarding technology which I always wanted to work with. Hr system is very flexible, helpful., , Lot of empathy towards employee. Definitely great work culture need more maturity to drive it by the employee.","Alignment of vision with the team should be more clear and frequent, so everyone knows what they are working towards. Specially with people down the chain of command.",IT Site Lead
688,2021-09-28,Current Employee,3.0,"average easy work , not busy day or require a lot of knowledge","too much office politics , not easy to get career advantage",Quality Control
689,2021-09-15,Former Employee,5.0,Great employee benefits and effective work experience,Overtime may be required sometimes,Customer Operations
690,2021-09-15,Current Employee,5.0,Best working environment. Good working lifestyle,No cons. Everything is good,Content Moderator
691,2021-09-29,"Former Employee, more than 1 year",3.0,Nice environment. Great team. Comfortable working palce,"Too many tasks, totally overloaded",Anonymous Employee
692,2021-09-13,Current Employee,5.0,The work is inspring and challenging.,There is a lot of late nights.,Product Marketing Manager
693,2021-09-26,"Current Employee, less than 1 year",3.0,"Grow fast , Fairly High salary","Zero work life balances, So many office politics",Software Engineer
694,2021-09-11,"Former Employee, more than 1 year",5.0,"Cares about employees, Gifts on every occasion such as Holi, Diwali, Christmas etc. , Great work life balance, Great boss",Banned in India and had to let go of employees. Gave huge severance packages,Senior Manager Key Accounts
695,2021-09-26,"Current Employee, more than 1 year",2.0,Financial benefits and others such a random samll gifts,Being watched like you're a criminal,Content Moderator
696,2021-09-23,Current Employee,2.0,"Iteration fast, system is very scalable.","Regular night meetings, wlb not good.",Software Engineer
697,2021-09-24,"Current Employee, more than 1 year",4.0,"I feel it's quite good, the colleagues are friendly but the wlb is pretty bad",wlb is not pretty good,Software Engineer
698,2021-09-23,Current Employee,4.0,"Allow remote, pretty active environment",Need to stay until night(20:00),Systems Architect Intern
699,2021-09-23,"Former Employee, more than 1 year",4.0,"Managers from MBB, smart colleagues, efficient administrative",The workload doesn't really allow you to balance your life and your job,Strategy Analyst
700,2021-09-23,Current Employee,3.0,"Employee benefits, , Employee centric, , Good compensation, , Growth opportunity","No worklife balance, Beauracratic , Lack future clarity",Anonymous Employee
701,2021-09-08,"Current Employee, less than 1 year",5.0,"paid generously, good working environment","no work life balance, too much work",Business Analyst
702,2021-09-22,Current Employee,4.0,"I am an energetic, ambitious person who has developed a mature and responsible approach to any task that I undertake, or situation that I am presented with.",focus on the details because I want to get the service and task right and this sometimes takes time when doing my tasks,Content Moderator
703,2021-10-14,Former Employee,1.0,find jobs find job so,bad relationship and very bad,Chemist
704,2021-09-22,Former Employee,3.0,Good teamwork and highly motivated colleagues,Unsatisfying work and life balance,Interpreter/Translator
705,2021-09-06,Former Employee,5.0,"Great tech, Fancy work environment, Good mentor","long working hours, busy schedule, i dont know",Software Engineer(Internship)
706,2021-09-20,Former Employee,4.0,"Salary and Technology are good, very fast pace of work",job sometimes too much to be done.,Software Engineer
